"user","city","gender","age","asset_year","user_status","earnings","first_trip_m","price_hourly"
274,"San Francisco","FEMALE",30,2009,"DELISTED",311.01,NA,11
275,"Washington","FEMALE",27,2010,"DELISTED",9.556,48,6.5
276,"San Francisco","FEMALE",28,2014,"DELISTED",386.236,72,5.86
277,"San Francisco","MALE",NA,2007,"DELISTED",1050.876,50,7
278,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
279,"Milpitas","MALE",57,2012,"DELISTED",0,NA,60
280,"San Francisco","MALE",50,2015,"ACTIVE",287.24,73,7.14
281,"Berkeley","FEMALE",42,2000,"DELISTED",2040.6,NA,6.5
282,"San Francisco","MALE",31,2017,"RESCUING",477.51,69,10
283,"San Francisco","FEMALE",NA,2015,"DELISTED",25.814,80,8.05
284,"San Francisco","FEMALE",NA,2016,"ONBOARDING",0,NA,7.5
285,"Washington","MALE",NA,2015,"ACTIVE",1.96,81,5.73
286,"San Francisco","MALE",39,2006,"DELISTED",1040.428,42,9
287,"San Francisco","FEMALE",NA,2018,"ACTIVE",0,79,5
288,"Seattle","MALE",52,2014,"RESCUING",16.084,79,5.63
289,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
290,"Alameda","FEMALE",NA,2011,"SCHEDULING",0,NA,5.53
291,"San Diego","FEMALE",NA,2016,"ACTIVE",0,83,5
292,"San Francisco","MALE",26,2013,"RESCUING",0,83,8.43
293,"Brooklyn","FEMALE",NA,2011,"DELISTED",0,NA,15
294,"San Francisco","MALE",26,2013,"DELISTED",289.44,60,9
295,"Chicago","MALE",51,2010,"ACTIVE",1129.232,65,4.69
296,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
297,"Walnut Creek","FEMALE",36,2015,"SCHEDULING",0,NA,7.5
298,"West Hollywood","FEMALE",23,2013,"ACTIVE",180.778,83,5.23
299,"Washington","MALE",28,2014,"DELISTED",496.08,50,16
300,"San Francisco","MALE",29,2013,"DELISTED",0,45,9
301,"Portland","MALE",42,2006,"DELISTED",241.408,42,6.5
302,"Chicago","MALE",27,2012,"LIMITED",4794.498,68,8.79
303,"Jersey City","FEMALE",24,2015,"OFFBOARDING",3517.4,62,10.17
304,"Berkeley","FEMALE",NA,2008,"ACTIVE",0,84,33.93
305,"Los Angeles","MALE",NA,2012,"DELISTED",0,NA,8.5
306,"Portland","FEMALE",32,2011,"DELISTED",78.48,40,8
307,"Berkeley","FEMALE",40,2016,"DELISTED",249.09,62,9
308,"Stamford","FEMALE",NA,2012,"DELISTED",0,NA,7.5
309,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
310,"San Francisco","MALE",33,2008,"DELISTED",881.738,NA,9
311,"Santa Monica","FEMALE",NA,2006,"DELISTED",0,NA,7.5
312,"Chicago","MALE",NA,2017,"DELISTED",247.322,71,6.53
313,"San Francisco","FEMALE",27,2010,"DELISTED",919.544,41,8.75
314,"San Francisco","MALE",31,2014,"DELISTED",185.88,47,13
315,"San Francisco","MALE",30,2011,"DELISTED",425.52,53,8
316,"San Francisco","MALE",28,2016,"DELISTED",613.918,54,8
317,"San Francisco","MALE",32,2012,"DELISTED",161.28,NA,8
318,"Los Angeles","FEMALE",NA,1995,"DELISTED",0,NA,8
