"user","treatment","num_applications","num_hires","prior_spend","prior_openings"
340,"0",14,0,0,2
341,"0",0,0,0,1
342,"0",15,1,8.72056169905384,386
343,"1",37,1,5.33059092709833,4
344,"0",0,0,0,2
345,"0",1,0,0,2
346,"1",34,0,0,4
347,"1",3,0,6.61540901273681,3
348,"1",32,1,8.26196540162918,25
349,"0",4,0,0,7
350,"1",13,0,4.7194805321655,4
351,"0",29,1,0,1
352,"1",1,1,7.28972655567457,4
353,"0",31,1,8.29343945397633,13
354,"0",5,0,0,1
355,"0",8,1,5.65115495725551,73
356,"1",2,0,0,2
357,"0",90,3,7.2929904685182,27
358,"0",1,1,4.12713438504509,4
359,"0",7,0,0,2
360,"1",0,0,0,1
361,"0",9,1,0,1
362,"1",12,0,0,6
363,"1",78,0,5.64428013950709,9
364,"1",28,2,7.54097197175887,54
365,"0",4,0,0,1
366,"0",0,0,0,1
367,"1",1,0,0,3
368,"0",6,0,7.94374720566858,72
369,"0",5,0,9.29590136433301,9
370,"0",0,0,5.82088379651705,14
371,"0",1,1,8.85732728667043,79
372,"1",36,0,9.31651945251834,26
373,"1",2,0,7.76066308842393,32
374,"0",0,0,9.1182579772642,86
375,"1",62,1,6.86979377269502,7
376,"1",5,0,4.11087386417331,7
377,"1",26,0,6.84163684377068,53
378,"1",29,1,0,1
379,"1",0,0,0,1
380,"1",0,0,5.09962249563614,12
381,"0",1,0,0,4
382,"0",0,0,10.4645808198897,75
383,"1",102,2,8.56127323273337,32
384,"0",0,0,9.40528196012624,19
385,"1",16,2,8.86785992213574,12
386,"1",3,1,3.40119738166216,2
387,"1",1,1,8.36226187363711,18
388,"1",10,1,7.19652925509009,19
389,"0",82,1,6.28247233323832,10
390,"1",0,0,0,1
391,"0",16,1,0,1
392,"0",1,1,0,1
393,"0",0,0,0,3
394,"0",0,0,5.74338772924856,2
395,"1",2,0,5.90851762628706,29
396,"1",0,0,8.75089362226903,39
397,"0",4,0,0,1
398,"0",1,0,0,1
399,"1",0,0,0,1
400,"1",3,0,5.91463749699466,35
401,"0",26,3,10.2887224019268,59
402,"0",0,0,8.52604985512653,48
403,"0",1,0,7.12632840178159,11
404,"1",11,0,6.01395962493535,57
405,"0",16,1,0,1
406,"0",3,0,9.1875220018955,178
407,"0",1,1,8.08357549188848,21
408,"0",22,1,4.03512520256213,4
409,"1",4,0,0,2
410,"0",28,1,8.10150197443164,40
411,"1",37,1,0,1
412,"0",0,0,11.0640956010126,104
413,"0",0,0,4.83294300568596,5
414,"0",29,1,0,5
415,"1",15,1,7.60946073282364,25
416,"0",1,1,10.1408767510655,460
417,"0",36,0,5.72152415613236,8
418,"1",22,1,8.72860580353475,66
419,"0",0,0,3.32034879379883,2
420,"1",10,1,9.07001106868225,171
421,"1",6,1,2.55334381134123,2
422,"0",4,1,5.76117049176493,4
